y,x,w,h,y_lag1,x_lag1,w_lag1,h_lag1,y_lag2,x_lag2,w_lag2,h_lag2,y_lag3,x_lag3,w_lag3,h_lag3
123.68915947506633,114.54073135653638,-0.9734004933214118,0.0,,,,,,,,,,,,
122.9853694245,114.51951668393954,-0.989043056039809,0.0,123.68915947506633,114.54073135653638,-0.9734004933214118,0.0,,,,,,,,
122.33785040310208,113.79321190655779,-0.962591703095232,0.0,122.9853694245,114.51951668393954,-0.989043056039809,0.0,123.68915947506633,114.54073135653638,-0.9734004933214118,0.0,,,,
122.24467061509705,113.90075447200141,-1.1712119970869952,0.0,122.33785040310208,113.79321190655779,-0.962591703095232,0.0,122.9853694245,114.51951668393954,-0.989043056039809,0.0,123.68915947506633,114.54073135653638,-0.9734004933214118,0.0
122.53654160552877,113.49888640029442,-1.0176124535026008,0.0,122.24467061509705,113.90075447200141,-1.1712119970869952,0.0,122.33785040310208,113.79321190655779,-0.962591703095232,0.0,122.9853694245,114.51951668393954,-0.989043056039809,0.0
122.74477876202808,113.67000093451438,-0.6120645343948115,0.0,122.53654160552877,113.49888640029442,-1.0176124535026008,0.0,122.24467061509705,113.90075447200141,-1.1712119970869952,0.0,122.33785040310208,113.79321190655779,-0.962591703095232,0.0
121.92263130824527,111.22215802566808,0.4534413230894159,0.0,122.74477876202808,113.67000093451438,-0.6120645343948115,0.0,122.53654160552877,113.49888640029442,-1.0176124535026008,0.0,122.24467061509705,113.90075447200141,-1.1712119970869952,0.0
122.80480429695206,113.78207566351679,0.45004196488745224,0.0,121.92263130824527,111.22215802566808,0.4534413230894159,0.0,122.74477876202808,113.67000093451438,-0.6120645343948115,0.0,122.53654160552877,113.49888640029442,-1.0176124535026008,0.0
122.31074296628438,112.25036013157694,0.48880876727134404,0.0,122.80480429695206,113.78207566351679,0.45004196488745224,0.0,121.92263130824527,111.22215802566808,0.4534413230894159,0.0,122.74477876202808,113.67000093451438,-0.6120645343948115,0.0
122.10057307462584,112.30977599914738,0.35382405593399163,0.0,122.31074296628438,112.25036013157694,0.48880876727134404,0.0,122.80480429695206,113.78207566351679,0.45004196488745224,0.0,121.92263130824527,111.22215802566808,0.4534413230894159,0.0
121.6084823281927,112.41297903028129,-0.6763263629023275,0.0,122.10057307462584,112.30977599914738,0.35382405593399163,0.0,122.31074296628438,112.25036013157694,0.48880876727134404,0.0,122.80480429695206,113.78207566351679,0.45004196488745224,0.0
122.94741255729345,113.770754464585,-0.5543180280464705,0.0,121.6084823281927,112.41297903028129,-0.6763263629023275,0.0,122.10057307462584,112.30977599914738,0.35382405593399163,0.0,122.31074296628438,112.25036013157694,0.48880876727134404,0.0
122.83642334247887,112.85084076999766,-0.41333931746666314,0.0,122.94741255729345,113.770754464585,-0.5543180280464705,0.0,121.6084823281927,112.41297903028129,-0.6763263629023275,0.0,122.10057307462584,112.30977599914738,0.35382405593399163,0.0
122.23068113758502,112.25939992114576,0.9009496022693125,0.0,122.83642334247887,112.85084076999766,-0.41333931746666314,0.0,122.94741255729345,113.770754464585,-0.5543180280464705,0.0,121.6084823281927,112.41297903028129,-0.6763263629023275,0.0
122.61797422088453,111.97064928329425,0.6245791994248888,0.0,122.23068113758502,112.25939992114576,0.9009496022693125,0.0,122.83642334247887,112.85084076999766,-0.41333931746666314,0.0,122.94741255729345,113.770754464585,-0.5543180280464705,0.0
122.8813595509317,111.95175430861914,0.6504370307067173,0.0,122.61797422088453,111.97064928329425,0.6245791994248888,0.0,122.23068113758502,112.25939992114576,0.9009496022693125,0.0,122.83642334247887,112.85084076999766,-0.41333931746666314,0.0
